strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Mauritius/220577/2021	EPI_ISL_3217410		Airport Health Laboratory/Central Health Laboratory	Virology Department, Central Health Laboratory ,Victoria Hospital, Candos,Ministry of Health and Wellness, Mauritius	Manraj SS et al
hCoV-19/Australia/VIC19069/2021	EPI_ISL_3134920		Victorian Infectious Diseases Reference Laboratory (VIDRL)	VIDRL and MDU-PHL	Caly L. et al B
hCoV-19/CostaRica/INC-0945/2021	EPI_ISL_3638816		AREA DE SALUD SAN JUAN-SAN DIEGO-CONCEPCION 2	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/England/ALDP-15FBEF7/2021	EPI_ISL_2447067		Lighthouse Lab in Alderley Park	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Jacquelyn Wynn et al
hCoV-19/England/MILK-181BF37/2021	EPI_ISL_2848408		Lighthouse Lab in Milton Keynes	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	The Lighthouse Lab in Milton Keynes et al
hCoV-19/Australia/WA776/2021	EPI_ISL_3566730		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
hCoV-19/England/QEUH-157CC12/2021	EPI_ISL_2171784		Lighthouse Lab in Glasgow	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Harper VanSteenhouse et al
hCoV-19/Switzerland/GE-HUG-34635349/2021	EPI_ISL_2885499		University Hospitals of Geneva, Laboratory of Virology	HUG, Laboratory of Virology and the Health2030 Genome Center	Samuel Cordey et al
hCoV-19/Australia/WA775/2021	EPI_ISL_3477075		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
hCoV-19/Australia/WA777/2021	EPI_ISL_3566731		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
hCoV-19/Albania/un-ChVir25862_11/2021	EPI_ISL_3123563		Unit of laboratory surveillance of viral emergent disease Control of Communicable Diseases Departament National Institute of Public Health Albania	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al B
hCoV-19/Poland/2108-057_wsselodz/2021	EPI_ISL_3332851		Zaklad Mikrobiologii Klinicznej WSZ im. dr R. Ostrzyckiego w Koninie	Wojewodzka Stacja Sanitarno-Epidemiologiczna w Lodzi, Oddzial Laboratoryjny Mikrobiologii i Parazytologii	Elian Terpo et al
hCoV-19/England/MILK-1B618E9/2021	EPI_ISL_3437636		Lighthouse Lab in Milton Keynes	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	The Lighthouse Lab in Milton Keynes et al
hCoV-19/SaintVincentandtheGrenadines/79512/2021	EPI_ISL_3655576		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/England/PHEP-002055/2021	EPI_ISL_3180259		Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	COVID-19 Genomics UK (COG-UK) Consortium	PHE Covid Sequencing Team et al
hCoV-19/Spain/MD-HGUGM-5778341/2021	EPI_ISL_3386934		Hospital General Universitario Gregorio Marañón	Hospital General Universitario Gregorio Marañón	Sergio Buenestado Serrano et al
hCoV-19/Poland/37895519/2021	EPI_ISL_3667045		Zakład Patologii Nowotworów i Patomorfologii Centrum Onkologii im. prof. F. Łukaszczyka w Bydgoszczy	WSSEw Warszawie	Dorota Wągrocka - Roczniak et al
hCoV-19/England/QEUH-1B35CD3/2021	EPI_ISL_3442303		Lighthouse Lab in Glasgow	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Harper VanSteenhouse et al
hCoV-19/Ireland/LH-NVRL-S21IRL00151679/2021	EPI_ISL_3535452		National Virus Reference Laboratory	National Virus Reference Laboratory	Zoe Yandle et al
hCoV-19/Romania/NT-19183/2021	EPI_ISL_3386668		Department of Public Health Neamt	National Institute of Infectious Diseases-Prof. Dr. Matei Bals Molecular Diagnostics Laboratory	Corina Casangiu et al
hCoV-19/Australia/SA0814/2021	EPI_ISL_2978694		SA Pathology	SA Pathology	Caitlin Selway et al
hCoV-19/Australia/SA0808/2021	EPI_ISL_2978690		SA Pathology	SA Pathology	Caitlin Selway et al
hCoV-19/Australia/SA0825/2021	EPI_ISL_3071861		SA Pathology	SA Pathology	Caitlin Selway et al
hCoV-19/Ireland/D-NVRL-G21IRL73429/2021	EPI_ISL_3356034		National Virus Reference Laboratory	National Virus Reference Laboratory	Zoe Yandle et al
hCoV-19/Curacao/CW-RIVM-46526/2021	EPI_ISL_3257751		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Aruba/AW-RIVM-49084/2021	EPI_ISL_3389773		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Aruba/AW-RIVM-49062/2021	EPI_ISL_3389757		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Bonaire/BQ-RIVM-45046/2021	EPI_ISL_3137118		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Kosovo/un-ChVir25887_29/2021	EPI_ISL_3505808		Department of Microbiology, National Institute for Public Health of Kosova	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al B
hCoV-19/Lithuania/S21G154/2021	EPI_ISL_3060118		UAB "Rezus.lt"	Vilnius University Hospital Santaros Klinikos, Center of Laboratory Medicine	Dovile Juozapaite et al
hCoV-19/Lithuania/S21G224/2021	EPI_ISL_3340085		Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos	Vilnius University Hospital Santaros Klinikos, Center of Laboratory Medicine	Ingrida Olendraite et al
hCoV-19/Lithuania/LSMULKKGMMK17C1/2021	EPI_ISL_3464816		UAB InMedica		Rasa Ugenskiene et al
hCoV-19/Denmark/DCGC-139123/2021	EPI_ISL_3163076		Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium et al
hCoV-19/Lithuania/MR-LUHS-13-43/2021	EPI_ISL_3464760		UAB InMedica	Lithuanian University of Health Sciences	Arnoldas Pautienius et al
hCoV-19/Lithuania/LSMULKKGMMK17C182/2021	EPI_ISL_3464919		UAB Medicina practica laboratorija		Rasa Ugenskiene et al
hCoV-19/England/QEUH-181C7C5/2021	EPI_ISL_2846428		Lighthouse Lab in Glasgow	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Harper VanSteenhouse et al
hCoV-19/Croatia/8060/2021	EPI_ISL_3665736		Zavod za javno zdravstvo Zagrebačke županije	Hrvatski zavod za javno zdravstvo	Irena Tabain et al
hCoV-19/USA/NY-CDC-FG-073025/2021	EPI_ISL_3523801		Fulgent Genetics	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Malta/MDxMDH488/2021	EPI_ISL_2718541		Molecular Diagnostics Pathology Department Mater Dei Hospital Malta	Molecular Diagnostics Pathology Department Mater Dei Hospital Malta	G Zahra et al
hCoV-19/NewZealand/21CH0045/2021	EPI_ISL_2811958		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Paula scholes et al
hCoV-19/NewZealand/21MV0560/2021	EPI_ISL_2964928		LabPLUS	Institute of Environmental Science and Research (ESR)	Rachel Boyle et al
hCoV-19/Albania/un-ChVir25862_18/2021	EPI_ISL_3124041		Unit of laboratory surveillance of viral emergent disease Control of Communicable Diseases Departament National Institute of Public Health Albania	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al B
hCoV-19/Poland/5L/2021	EPI_ISL_3665764		Laboratorium Diagnostyczne Centrum Medycznego Luxmed	WSSEw Warszawie	Dorota Wągrocka - Roczniak et al
hCoV-19/Romania/CT-18774/2021	EPI_ISL_3342017		Department of Public Health Constanta	National Institute of Infectious Diseases-Prof. Dr. Matei Bals Molecular Diagnostics Laboratory	Corina Casangiu et al
hCoV-19/Liechtenstein/FL-Risch-2181305494/2021	EPI_ISL_3635701		Dr. Risch Ostschweiz AG	Microbiology, Dr. Risch	Nadia Wohlwend et al
hCoV-19/Bulgaria/21BG-EU_003668_Pl31/2021	EPI_ISL_2967083		National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases	Alexiev et al
hCoV-19/Slovenia/315501/2021	EPI_ISL_3503961		Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Alen Suljič et al
hCoV-19/Denmark/DCGC-121296/2021	EPI_ISL_2747626		Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium et al
hCoV-19/Denmark/DCGC-149840/2021	EPI_ISL_3417920		Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium et al
hCoV-19/Denmark/DCGC-122502/2021	EPI_ISL_2819144		Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium et al
hCoV-19/Denmark/DCGC-137288/2021	EPI_ISL_3141711		Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium et al
hCoV-19/Slovenia/90-030389-NM/2021	EPI_ISL_2983062		National Laboratory for Health, Environment and Food, OMM, Novo mesto	NLZOH (National Laboratory for Health, Environment and Food) / CISLD (Clinical Institute of Special Laboratory Diagnostics), University Children's Hospital, University Medical Center Ljubljana	Sandra Janezic et al
hCoV-19/Slovenia/08-148290-MB/2021	EPI_ISL_3316712		National Laboratory for Health, Environment and Food, OMM, Maribor	NLZOH (National Laboratory for Health, Environment and Food) / CISLD (Clinical Institute of Special Laboratory Diagnostics), University Children's Hospital, University Medical Center Ljubljana	Sandra Janezic et al
hCoV-19/Slovenia/08-148299-MB/2021	EPI_ISL_3316717		National Laboratory for Health, Environment and Food, OMM, Maribor	NLZOH (National Laboratory for Health, Environment and Food) / CISLD (Clinical Institute of Special Laboratory Diagnostics), University Children's Hospital, University Medical Center Ljubljana	Sandra Janezic et al
hCoV-19/Croatia/7277/2021	EPI_ISL_3401992		Nastavni zavod za javno zdravstvo Primorsko- Goranske Županije	Hrvatski zavod za javno zdravstvo	Irena Tabain et al
hCoV-19/env/Austria/CeMM14402/2021	EPI_ISL_3546575		Universität Innsbruck, Institut für Mikrobiologie	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al
hCoV-19/Liechtenstein/FL-Risch-2181907360/2021	EPI_ISL_3635714		Dr. Risch Ostschweiz AG	Microbiology, Dr. Risch	Nadia Wohlwend et al
hCoV-19/Italy/FVG-UD-357021/2021	EPI_ISL_3385176		Dipartimento di Medicina di Laboratorio, Azienda sanitaria universitaria Friuli Centrale (ASU FC)	Dipartimento di Medicina di Laboratorio, Azienda sanitaria universitaria Friuli Centrale (ASU FC)	Corrado Pipan et al
hCoV-19/Croatia/7884/2021	EPI_ISL_3631195		Klinika za infektivne bolesti "Dr. Fran Mihaljević"	Hrvatski zavod za javno zdravstvo	Irena Tabain et al
hCoV-19/Armenia/IMB8-7/2021	EPI_ISL_3543643		National Center of Disease Control and Prevention of the Republic of Armenia, Davidyants Laboratories, Yerevan, Armenia	Institute of Molecular Biology NAS RA, Republic of Armenia, Department of Bioengineering, BioinformaticsInstitute and Molecular Biology IBMPh RAU, Republic of Armenia	Arsen Arakelyan et al
hCoV-19/Armenia/IMB4-18/2021	EPI_ISL_3543602		National Center of Disease Control and Prevention of the Republic of Armenia, Davidyants Laboratories, Yerevan, Armenia	Institute of Molecular Biology NAS RA, Republic of Armenia, Department of Bioengineering, BioinformaticsInstitute and Molecular Biology IBMPh RAU, Republic of Armenia	Arsen Arakelyan et al
hCoV-19/NewZealand/21MV0574/2021	EPI_ISL_2964936		Middlemore Hospital	Institute of Environmental Science and Research (ESR)	Rachel Boyle et al
hCoV-19/Denmark/DCGC-152545/2021	EPI_ISL_3464104		Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium et al
hCoV-19/Algeria/51743/2021	EPI_ISL_3375632		NIC, Viral Respiratory Unit	Virology Departement	Fayez Ahmed Khardine et al
hCoV-19/Italy/VEN-IZSVe-21RS8003-35_VI/2021	EPI_ISL_3385995		AULSS 7 Pedemontana - Santorso	Istituto Zooprofilattico Sperimentale delle Venezie	Adelaide Milani et al
hCoV-19/Italy/LAZ-INMI-1812/2021	EPI_ISL_3461405		INMI	National Institute for Infectious Diseases (INMI) L. Spallanzani I.R.C.C.S	E Giombini et al
hCoV-19/Italy/VEN-IZSVe-21RS8012-8_VE/2021	EPI_ISL_3119727		AULSS 3 Venezia	Istituto Zooprofilattico Sperimentale delle Venezie	Adelaide Milani et al
hCoV-19/Qatar/DA-USAFSAM-S4137/2021	EPI_ISL_3048166		US Air Force School of Aerospace Medicine	US Air Force School of Aerospace Medicine	Anthony Fries et al
hCoV-19/Norway/15685/2021	EPI_ISL_3133541		Haukeland University Hospital, Dept. of Microbiology	Norwegian Institute of Public Health, Department of Virology	Kathrine Stene-Johansen et al
hCoV-19/Greece/27048/2021	EPI_ISL_3597736		Central Public Health Laboratory, National Public Health Organization	Central Public Health Laboratory, National Public Health Organization	Kyriaki Tryfinopoulou et al
hCoV-19/Australia/QLD2171/2021	EPI_ISL_3333201		PHV-FSS	PHV-FSS	Chenwei Wang on behalf of Q-PHIRE Genomics et al
hCoV-19/Poland/24095k/2021	EPI_ISL_3664476		NZOZ Medigen	WSSEw Warszawie	Dorota Wągrocka - Roczniak et al
hCoV-19/Nepal/S-97/2021	EPI_ISL_3184592		National Public Health Laboratory	National Public Health Laboratory/CSIR-Institute of Genomics and Integrative Biology	National Public Health Laboratory Team et al
hCoV-19/Lebanon/LAU-CVD-88/2021	EPI_ISL_3233213		Laboratory of Molecular Biology and Cancer Immunology, Faculty of Sciences, Lebanese University	Microbial Pathogenomics Lab - LAU	Sima tokajian et al
hCoV-19/Canada/NB-NML-139498/2021	EPI_ISL_3334212		NB-Hôpital Georges L. Dumont	New Brunswick – Vitalité Health Network	Chacko S. et al
hCoV-19/Mozambique/CERI-KRISP-K021115/2021	EPI_ISL_3663545		Instituto Nacional de Saude (INS), Mozambique	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Nalia Ismael et al
hCoV-19/Mozambique/CERI-KRISP-K021117/2021	EPI_ISL_3663547		Instituto Nacional de Saude (INS), Mozambique	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Nalia Ismael et al
hCoV-19/NewZealand/21MV0638/2021	EPI_ISL_3477082		Middlemore Hospital	Institute of Environmental Science and Research (ESR)	Rachel Boyle et al
hCoV-19/Mozambique/CERI-KRISP-K021178/2021	EPI_ISL_3663583		Instituto Nacional de Saude (INS), Mozambique	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Nalia Ismael et al
hCoV-19/Mozambique/CERI-KRISP-K021116/2021	EPI_ISL_3663546		Instituto Nacional de Saude (INS), Mozambique	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Nalia Ismael et al
hCoV-19/Mozambique/CERI-KRISP-K021118/2021	EPI_ISL_3663548		Instituto Nacional de Saude (INS), Mozambique	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Nalia Ismael et al
hCoV-19/Russia/MOW-RII-MH20214S/2021	EPI_ISL_2816237		Infectious Diseases Hospital No 2	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al
hCoV-19/Monaco/IPP14904/2021	EPI_ISL_2923153		Labo Analyses Med	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al
hCoV-19/Monaco/IPP14907/2021	EPI_ISL_2923156		Labo Analyses Med	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al
hCoV-19/Monaco/IPP14373/2021	EPI_ISL_2757665		Hospital	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al
hCoV-19/Monaco/IPP14371/2021	EPI_ISL_2757663		Hospital	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al
hCoV-19/USA/AK-PHL10099/2021	EPI_ISL_3046074	MZ643098.1	Alaska State Virology Laboratory	Alaska State Virology Laboratory	Stephanie DeRonde et al
hCoV-19/Finland/10446/2021	EPI_ISL_3644822		Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Teemu Smura et al
hCoV-19/Crimea/CR-CRIE-L189Z0141ubh/2021	EPI_ISL_3101330		Molecular diagnostic laboratory of Federal Budget Institution of Science "Central Research Institute of Epidemiology" of The Federal Service on Customers' Rights Protection and Human Well-being Surveillance	Group of Genomics and Postgenomic Technologies of Central Research Institute of Epidemiology	Samoilov A.E. et al
hCoV-19/CostaRica/INC-0895/2021	EPI_ISL_3464521		AREA DE SALUD HEREDIA-VIRILLA	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/NewZealand/21MV0729/2021	EPI_ISL_3543464		LabPLUS	Institute of Environmental Science and Research (ESR)	Rachel Boyle et al
hCoV-19/Estonia/16843367/2021	EPI_ISL_3506123		Synlab Eesti OÜ	1. Laboratory of Communicable Diseases (Estonia); 2. Eurofins Genomics Europe Sequencing GmbH	Liidia Dotsenko et al.
hCoV-19/Russia/MOW-RII-MH19947S/2021	EPI_ISL_2663035		N.F. Gamaleya Research Center for Epidemiology and Microbiology	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al
hCoV-19/Israel/SMC-7005785/2021	EPI_ISL_3022073		Shamir Medical Center (Asaf Harofe)	Shamir Medical Center (Asaf Harofe)	Nir Rainy et al
hCoV-19/Israel/CVL-14952/2021	EPI_ISL_3278730		Israel Central Virology laboratory	Israel National Consortium for SARS-CoV-2 sequencing	Neta Zuckerman et al
hCoV-19/Germany/NW-RKI-I-198192/2021	EPI_ISL_3497216		SYNLAB MVZ Leverkusen	Robert Koch Institute	?
hCoV-19/Russia/MOW-RII-MH25082S/2021	EPI_ISL_2964465		N.F. Gamaleya Research Center for Epidemiology and Microbiology	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al
hCoV-19/Austria/CeMM13790/2021	EPI_ISL_3307580		Austrian Agency for Health and Food Safety (AGES)	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al
hCoV-19/Moldova/un-ChVir25850/2021	EPI_ISL_3064711		National Agency for Public Health, Republic of Moldov	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al B
hCoV-19/Moldova/un-ChVir25847/2021	EPI_ISL_3064708		National Agency for Public Health, Republic of Moldov	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al B
hCoV-19/Italy/LAZ-IFO-07153154/2021	EPI_ISL_3068398		IRCCS San Gallicano Dermatological Institute	IRCCS Regina Elena National Cancer Institute	Ludovica Ciuffreda et al
